token,category,buildable,template_file,curation_status,source,structure_convention,attachment_chemistry
Orn,non_natural_aa,True,pepforge_structure_tool/data/templates/Orn.sdf,explicit_residue_graph,explicit alpha-amino-acid graph,L-ornithine,
PEG1,linker,True,pepforge_structure_tool/data/templates/PEG1.sdf,explicit_linear_linker_graph,database_or_explicit_linker_convention,,
PEG12,linker,True,pepforge_structure_tool/data/templates/PEG12.sdf,explicit_linear_linker_graph,database_or_explicit_linker_convention,,
PEG2,linker,True,pepforge_structure_tool/data/templates/PEG2.sdf,explicit_linear_linker_graph,database_or_explicit_linker_convention,,
PEG24,linker,True,pepforge_structure_tool/data/templates/PEG24.sdf,explicit_linear_linker_graph,database_or_explicit_linker_convention,,
PEG3,linker,True,pepforge_structure_tool/data/templates/PEG3.sdf,explicit_linear_linker_graph,database_or_explicit_linker_convention,,
PEG4,linker,True,pepforge_structure_tool/data/templates/PEG4.sdf,explicit_linear_linker_graph,database_or_explicit_linker_convention,,
PEG6,linker,True,pepforge_structure_tool/data/templates/PEG6.sdf,explicit_linear_linker_graph,database_or_explicit_linker_convention,,
PEG8,linker,True,pepforge_structure_tool/data/templates/PEG8.sdf,explicit_linear_linker_graph,database_or_explicit_linker_convention,,
Pal,chemical,True,pepforge_structure_tool/data/templates/Pal.sdf,buildable_only_as_explicit_N_terminal_or_sidechain_acyl,explicit_acyl_attachment_rule,,acylation of primary amine
ROX,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Sar,non_natural_aa,True,pepforge_structure_tool/data/templates/Sar.sdf,explicit_residue_graph,explicit_residue_fragment,,
Ste,chemical,True,pepforge_structure_tool/data/templates/Ste.sdf,buildable_only_as_explicit_N_terminal_or_sidechain_acyl,explicit_acyl_attachment_rule,,acylation of primary amine
Succinyl,chemical,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
TAMRA,label,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
TCO,chemical,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
Tetrazine,chemical,False,,requires_curated_derivative,token_recognized_but_derivative_unspecified,,
bAla,linker,True,pepforge_structure_tool/data/templates/bAla.sdf,explicit_linear_linker_graph,database_or_explicit_linker_convention,,
dAbu,non_natural_aa,True,pepforge_structure_tool/data/templates/dAbu.sdf,explicit_residue_graph,explicit_residue_fragment,,
dCha,non_natural_aa,True,pepforge_structure_tool/data/templates/dCha.sdf,explicit_residue_graph,mirror alpha stereochemistry,3-cyclohexyl-D-alanine,
dCit,non_natural_aa,True,pepforge_structure_tool/data/templates/dCit.sdf,explicit_residue_graph,mirror alpha stereochemistry,D-citrulline,
dDab,non_natural_aa,True,pepforge_structure_tool/data/templates/dDab.sdf,explicit_residue_graph,mirror alpha stereochemistry,"D-2,4-diaminobutyric acid",
dDap,non_natural_aa,True,pepforge_structure_tool/data/templates/dDap.sdf,explicit_residue_graph,explicit_residue_fragment,,
dHyp,non_natural_aa,True,pepforge_structure_tool/data/templates/dHyp.sdf,explicit_residue_graph,mirror stereochemistry of Hyp convention,mirror D-trans-4-hydroxyproline,
dNal,non_natural_aa,True,pepforge_structure_tool/data/templates/dNal.sdf,explicit_residue_graph,mirror alpha stereochemistry,1-naphthyl-D-alanine (D-1-Nal),
dNle,non_natural_aa,True,pepforge_structure_tool/data/templates/dNle.sdf,explicit_residue_graph,mirror alpha stereochemistry,D-norleucine,
dNva,non_natural_aa,True,pepforge_structure_tool/data/templates/dNva.sdf,explicit_residue_graph,explicit_residue_fragment,,
dOrn,non_natural_aa,True,pepforge_structure_tool/data/templates/dOrn.sdf,explicit_residue_graph,mirror alpha stereochemistry,D-ornithine,
gAla,linker,True,pepforge_structure_tool/data/templates/gAla.sdf,explicit_linear_linker_graph,database_or_explicit_linker_convention,,
